key_resp.keys,key_resp.rt,key_resp.duration,participant,date,expName,psychopyVersion,OS,frameRate,Response.text,accept.keys,accept.corr,accept.rt,accept.duration,recall_loop.thisRepN,recall_loop.thisTrialN,recall_loop.thisN,recall_loop.thisIndex,recall_loop.ran,Word1,WORD_length1,Emo_condition,length_group_emo,Word2,WORD_length2,Ima_condition,length_group_ima,Randomize
return,5.9156,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,,"[""return""]",0,[3.718600000023841],[null],0,0,0,24,1,Zeder,5,emo_mid,short_word,Ente,4,ima_high,short_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,,"[""return""]",0,[1.2606000000238424],[null],0,1,1,21,1,Languste,8,emo_mid,long_word,Getreide,8,ima_high,long_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,Pfau,"[""return""]",0,[7.584899999976155],[null],0,2,2,20,1,Vieh,4,emo_mid,short_word,Pfau,4,ima_high,short_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,Seeigel,"[""return""]",0,[11.244499999999999],[null],0,3,3,34,1,Krokodil,8,emo_mid,long_word,Seeigel,7,ima_high,long_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,,"[""return""]",0,[27.154000000000003],[null],0,4,4,32,1,Strauch,7,emo_mid,long_word,Rebhuhn,7,ima_high,long_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,Hengst,"[""return""]",0,[8.155199999988085],[null],0,5,5,15,1,Käfer,5,emo_mid,short_word,Hengst,6,ima_high,short_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,Brombeere,"[""return""]",0,[3.9538999999761586],[null],0,6,6,3,1,Sprosse,7,emo_mid,long_word,Brombeere,9,ima_high,long_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,Sellerie,"[""return""]",0,[5.000900000035756],[null],0,7,7,12,1,Maikäfer,8,emo_mid,long_word,Sellerie,8,ima_high,long_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,,"[""return""]",0,[21.55730000001192],[null],0,8,8,6,1,Meise,5,emo_mid,short_word,Frucht,6,ima_high,short_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,Bock,"[""return""]",0,[3.0428999999761572],[null],0,9,9,30,1,Quitte,6,emo_mid,short_word,Bock,4,ima_high,short_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,Barsch,"[""return""]",0,[7.451199999988091],[null],0,10,10,14,1,Maulwurf,8,emo_mid,long_word,Karpfen,7,ima_high,long_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,Amsel,"[""return""]",0,[15.068199999988067],[null],0,11,11,18,1,Busch,5,emo_mid,short_word,Krähe,5,ima_high,short_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,irgendein Fisch,"[""return""]",0,[15.584099999964252],[null],0,12,12,11,1,Raupe,5,emo_mid,short_word,Fisch,5,ima_high,short_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,Seepferd,"[""return""]",0,[7.7754000000357735],[null],0,13,13,22,1,Gorilla,7,emo_mid,long_word,Seepferd,8,ima_high,long_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,Walnuss,"[""return""]",0,[4.8336999999880845],[null],0,14,14,4,1,Lorbeer,7,emo_mid,long_word,Walnuss,7,ima_high,long_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,Reptil,"[""return""]",0,[3.6338000000119166],[null],0,15,15,1,1,Kiwi,4,emo_mid,short_word,Reptil,6,ima_high,short_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,Buche,"[""return""]",0,[7.483800000011939],[null],0,16,16,27,1,Wolf,4,emo_mid,short_word,Buche,5,ima_high,short_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,Maulwurf,"[""return""]",0,[22.7945],[null],0,17,17,16,1,Barsch,6,emo_mid,short_word,Tiger,5,ima_high,short_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,,"[""return""]",0,[1.0664000000357703],[null],0,18,18,13,1,Lurch,5,emo_mid,short_word,Ratte,5,ima_high,short_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,,"[""return""]",0,[8.702900000035754],[null],0,19,19,25,1,Walross,7,emo_mid,long_word,Schlange,8,ima_high,long_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,Wildkatze,"[""return""]",0,[5.05060000002382],[null],0,20,20,35,1,Raubtier,8,emo_mid,long_word,Wildkatze,9,ima_high,long_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,,"[""return""]",0,[1.1339000000357657],[null],0,21,21,26,1,Dromedar,8,emo_mid,long_word,Rosenkohl,9,ima_high,long_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,Motte,"[""return""]",0,[3.6614999999999895],[null],0,22,22,17,1,Geier,5,emo_mid,short_word,Motte,5,ima_high,short_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,Gras,"[""return""]",0,[4.102100000023853],[null],0,23,23,2,1,Hafer,5,emo_mid,short_word,Gras,4,ima_high,short_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,Stinktier,"[""return""]",0,[5.526999999999987],[null],0,24,24,31,1,Eidechse,8,emo_mid,long_word,Stinktier,9,ima_high,long_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,Thunfisch,"[""return""]",0,[4.670699999988074],[null],0,25,25,28,1,Kolibri,7,emo_mid,long_word,Thunfisch,9,ima_high,long_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,,"[""return""]",0,[17.18330000001194],[null],0,26,26,23,1,Gaul,4,emo_mid,short_word,Ei,2,ima_high,short_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,Larve,"[""return""]",0,[5.151699999988068],[null],0,27,27,5,1,Eule,4,emo_mid,short_word,Larve,5,ima_high,short_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,,"[""return""]",0,[3.633400000035749],[null],0,28,28,19,1,Habicht,7,emo_mid,long_word,Blutegel,8,ima_high,long_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,Weißkohl,"[""return""]",0,[6.117900000035775],[null],0,29,29,10,1,Nashorn,7,emo_mid,long_word,Weißkohl,8,ima_high,long_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,Otter,"[""return""]",0,[3.6180999999642722],[null],0,30,30,33,1,Mammut,6,emo_mid,short_word,Otter,5,ima_high,short_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,Faultier,"[""return""]",0,[14.459099999964224],[null],0,31,31,7,1,Zwiebel,7,emo_mid,long_word,Faultier,8,ima_high,long_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,Fledermaus,"[""return""]",0,[4.599599999964255],[null],0,32,32,29,1,Säugetier,9,emo_mid,long_word,Fledermaus,10,ima_high,long_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,,"[""return""]",0,[2.444399999976156],[null],0,33,33,0,1,Spore,5,emo_mid,short_word,Bulle,5,ima_high,short_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,Spagel,"[""return""]",0,[6.550799999952346],[null],0,34,34,8,1,Knoblauch,9,emo_mid,long_word,Spargel,7,ima_high,long_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,Amsel,"[""return""]",0,[7.2506999999881145],[null],0,35,35,9,1,Kuh,4,emo_mid,short_word,Amsel,5,ima_high,short_word,TRUE
,,,TEST,2024-06-18_09h24.32.264,SNORE_recall_online,2023.1.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,
