Word1,WORD_length1,Emo_condition,length_group_emo,Word2,WORD_length2,Ima_condition,length_group_ima,recall_loop.thisRepN,recall_loop.thisTrialN,recall_loop.thisN,recall_loop.thisIndex,start_text.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,Stimulus.started,accept.started,Response.text,accept.keys,accept.corr,accept.rt,accept.duration,end_text.started,end_text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,37.12460889999966,37.12460889999966,return,10.127549100000579,None,,,,,,,,,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Korken,6,emo_mid,short_word,Flöte,5,ima_high,short_word,0,0,0,18,,,,,,48.28426199999922,48.28426199999922,flöte,['return'],0,[7.591033200000311],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Umwelt,6,emo_mid,short_word,Bahre,5,ima_high,short_word,0,1,1,35,,,,,,56.900953200000004,56.900953200000004,"
Bahre",['return'],0,[9.807266900000286],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Notiz,5,emo_mid,short_word,Darm,4,ima_high,short_word,0,2,2,29,,,,,,67.71770119999928,67.71770119999928,"
Darm",['return'],0,[7.67790210000021],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Tat,3,emo_mid,short_word,Gondel,6,ima_high,short_word,0,3,3,10,,,,,,76.41766299999927,76.41766299999927,"
Gondel",['return'],0,[3.122670100000505],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Gegenteil,9,emo_mid,long_word,Handtuch,8,ima_high,long_word,0,4,4,21,,,,,,80.56778489999942,80.56778489999942,"
Handtuch
",['return'],0,[5.452157900000202],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Ereignis,8,emo_mid,long_word,Ohrfeige,8,ima_high,long_word,0,5,5,31,,,,,,87.05084679999982,87.05084679999982,Ohrfeige,['return'],0,[4.793253600000753],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Änderung,8,emo_mid,long_word,Tagebuch,8,ima_high,long_word,0,6,6,1,,,,,,92.85072729999956,92.85072729999956,"
Tagebuch
",['return'],0,[3.6013879000001907],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Dämmerung,9,emo_mid,long_word,Springseil,10,ima_high,long_word,0,7,7,8,,,,,,97.48441079999975,97.48441079999975,"Springseil
",['return'],0,[5.718879900000502],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Filter,5,emo_mid,short_word,Chor,4,ima_high,short_word,0,8,8,30,,,,,,104.23422479999954,104.23422479999954,Chaos,['return'],0,[17.033629999999903],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Schimmer,8,emo_mid,long_word,Durchfall,9,ima_high,long_word,0,9,9,19,,,,,,122.28428739999981,122.28428739999981,"
Durchfall",['return'],0,[4.727433500000188],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Werbung,7,emo_mid,long_word,Stecknadel,10,ima_high,long_word,0,10,10,17,,,,,,128.03423829999974,128.03423829999974,"
Stecknadel",['return'],0,[4.913652800000818],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Anleitung,9,emo_mid,long_word,Dachboden,9,ima_high,long_word,0,11,11,25,,,,,,133.96752729999935,133.96752729999935,"
Dachboden
",['return'],0,[6.8679727000007915],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Bagger,6,emo_mid,short_word,Kappe,5,ima_high,short_word,0,12,12,2,,,,,,141.8507585999996,141.8507585999996,Kappe,['return'],0,[14.440841100000398],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Tube,4,emo_mid,short_word,Karren,6,ima_high,short_word,0,13,13,26,,,,,,157.31763669999964,157.31763669999964,"
luke",['return'],0,[23.933618700000807],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Staffelei,9,emo_mid,long_word,Doppelbett,10,ima_high,long_word,0,14,14,22,,,,,,182.26773739999953,182.26773739999953,"
Doppelbett",['return'],0,[5.4634554000003845],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Akt,3,emo_mid,short_word,Flut,4,ima_high,short_word,0,15,15,13,,,,,,188.75099039999986,188.75099039999986,Pakt,['return'],0,[23.84455750000052],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Tuch,4,emo_mid,short_word,Napf,4,ima_high,short_word,0,16,16,6,,,,,,213.61770029999934,213.61770029999934,"
Napf",['return'],0,[8.145510500000455],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Entstehung,10,emo_mid,long_word,Malkasten,9,ima_high,long_word,0,17,17,5,,,,,,222.78440030000002,222.78440030000002,"
Malkasten",['return'],0,[5.298786900000778],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Kanne,5,emo_mid,short_word,Roller,6,ima_high,short_word,0,18,18,32,,,,,,229.1007921999999,229.1007921999999,"
Roller",['return'],0,[25.51124400000026],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Gang,4,emo_mid,short_word,Deckel,6,ima_high,short_word,0,19,19,23,,,,,,255.63416589999997,255.63416589999997,"
Deckel",['return'],0,[3.8257575999996334],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Eis,3,emo_mid,short_word,Handy,5,ima_high,short_word,0,20,20,7,,,,,,260.4842286999992,260.4842286999992,"
Handy",['return'],0,[6.847032300000137],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Wodka,5,emo_mid,short_word,Dreck,5,ima_high,short_word,0,21,21,0,,,,,,268.3507638000001,268.3507638000001,"
Dreck
",['return'],0,[4.052518000000418],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Ironie,6,emo_mid,short_word,Parade,6,ima_high,short_word,0,22,22,11,,,,,,273.43424999999934,273.43424999999934,"Parade
",['return'],0,[3.801700500000152],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Stiefel,7,emo_mid,long_word,Waldhaus,8,ima_high,long_word,0,23,23,34,,,,,,278.25060869999925,278.25060869999925,Waldhaus,['return'],0,[8.649448200000734],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Polohemd,8,emo_mid,long_word,Möbelstück,10,ima_high,long_word,0,24,24,12,,,,,,287.9175446999998,287.9175446999998,"
Möbelstück",['return'],0,[7.590071900000112],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Vorrecht,8,emo_mid,long_word,Sandwich,8,ima_high,long_word,0,25,25,9,,,,,,296.5341607999999,296.5341607999999,"
Sandwich
",['return'],0,[5.069058400001268],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Automat,7,emo_mid,long_word,Schleife,8,ima_high,long_word,0,26,26,24,,,,,,302.63433110000005,302.63433110000005,?,['return'],0,[33.54480430000058],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Andeutung,9,emo_mid,long_word,Schatulle,9,ima_high,long_word,0,27,27,28,,,,,,337.2008071999999,337.2008071999999,"
Schatulle",['return'],0,[18.35443320000013],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Kuhstall,8,emo_mid,long_word,Backofen,8,ima_high,long_word,0,28,28,15,,,,,,356.5838232999995,356.5838232999995,"
Backofen",['return'],0,[6.907299200000125],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Nagellack,9,emo_mid,long_word,Schloss,7,ima_high,long_word,0,29,29,27,,,,,,364.51743409999926,364.51743409999926,"
Schloss
",['return'],0,[3.1505000000006476],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Reflektor,9,emo_mid,long_word,Karussell,9,ima_high,long_word,0,30,30,4,,,,,,368.7006961999996,368.7006961999996,Karusell,['return'],0,[5.014608400000725],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Stufe,5,emo_mid,short_word,Büste,5,ima_high,short_word,0,31,31,20,,,,,,374.7341031999995,374.7341031999995,"
Büste",['return'],0,[3.8937881000001653],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Praxis,6,emo_mid,short_word,Kugel,5,ima_high,short_word,0,32,32,14,,,,,,379.65068019999944,379.65068019999944,"
Kugel
",['return'],0,[3.5366085000005114],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Triangel,8,emo_mid,long_word,Ambulanz,8,ima_high,long_word,0,33,33,33,,,,,,384.21761100000003,384.21761100000003,Krankenwagen,['return'],0,[11.449902000000293],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Hürde,5,emo_mid,short_word,Krug,4,ima_high,short_word,0,34,34,16,,,,,,396.6841399999994,396.6841399999994,"
Krug",['return'],0,[9.879780300000675],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
Kelch,5,emo_mid,short_word,Haus,4,ima_high,short_word,0,35,35,3,,,,,,407.5841639,407.5841639,"
Haus",['return'],0,[9.027240200000051],[None],,,RO01GG240624,2024-06-24_15h19.14.973,SNORE_recall_in_person,2023.1.3,59.887770318230395,
,,,,,,,,,,,,,,,,,,,,,,,,416.63416099999995,423.6341647999998,,,,,,
